# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   7.7501417e+02    7.7130673e+02    8.7095688e+02    1.2812083e+03    1.4191096e+03    1.4485859e+03    1.6766520e+03    1.6751762e+03    2.0629517e+03
   8.6486063e+02    7.1282416e+02    8.2629455e+02    1.1233255e+03    1.3921832e+03    1.5682903e+03    1.6183775e+03    1.6162917e+03    1.8099063e+03
   8.4347897e+02    1.1188106e+03    9.0926655e+02    1.2309663e+03    1.5214775e+03    1.4957087e+03    1.4131836e+03    1.6737592e+03    1.6855607e+03
   7.6897596e+02    7.9880208e+02    1.0891298e+03    1.1868194e+03    1.3430094e+03    1.4291056e+03    1.4608647e+03    1.6247707e+03    1.7588275e+03
   6.0329608e+02    1.0939670e+03    1.0128304e+03    1.3111443e+03    1.3010418e+03    1.3667051e+03    1.4955896e+03    1.5570250e+03    1.4530030e+03
   9.2115101e+02    7.7496506e+02    8.7622971e+02    1.3134990e+03    1.7339627e+03    1.4234121e+03    1.8387387e+03    1.8246512e+03    1.8198368e+03
   8.5119095e+02    8.0025193e+02    8.4379623e+02    8.6656742e+02    1.2785004e+03    1.5424544e+03    1.4580435e+03    1.3914070e+03    1.8373679e+03
   7.6878865e+02    1.0328335e+03    8.8725823e+02    1.1407661e+03    1.0877604e+03    1.3384292e+03    1.6850471e+03    1.6200797e+03    1.7545676e+03
   7.9775110e+02    8.5785821e+02    8.5599897e+02    1.0954894e+03    1.5483415e+03    1.4739505e+03    1.6895951e+03    2.1139307e+03    1.3847066e+03
   8.7626471e+02    1.1231983e+03    9.3570553e+02    1.5111033e+03    1.2556131e+03    1.5505847e+03    1.6826661e+03    1.4895929e+03    1.4860358e+03
   6.9020338e+02    8.7663609e+02    8.8904275e+02    1.0949510e+03    1.3742974e+03    1.6847592e+03    1.7736219e+03    1.7244640e+03    1.3836632e+03
   5.9973521e+02    8.6935753e+02    1.0774445e+03    1.2001936e+03    1.3289839e+03    1.3917555e+03    1.7250507e+03    1.6550127e+03    1.4427463e+03
   7.5280702e+02    7.1442246e+02    9.7236233e+02    1.1954315e+03    1.2620997e+03    1.2544090e+03    1.7544798e+03    1.5816678e+03    1.6491769e+03
   7.3635538e+02    7.9839520e+02    9.8267264e+02    1.1416962e+03    1.6293743e+03    1.6002120e+03    1.7187936e+03    1.6718166e+03    1.1773859e+03
   6.6260816e+02    8.3127510e+02    9.3470245e+02    1.2681325e+03    1.3685377e+03    1.7015862e+03    1.7536065e+03    1.6415024e+03    1.5801791e+03
   8.1949116e+02    8.6914786e+02    9.2435230e+02    1.1626934e+03    1.2687841e+03    1.3985032e+03    1.4283447e+03    1.6898668e+03    1.6392787e+03
   7.6264585e+02    8.5668105e+02    9.3961664e+02    1.2889724e+03    1.3705820e+03    1.7044118e+03    1.5245686e+03    1.8566425e+03    1.4475927e+03
   9.7107323e+02    8.6125572e+02    8.8709184e+02    1.1401783e+03    1.3712388e+03    1.1962023e+03    1.6127275e+03    1.7873608e+03    1.6676145e+03
   7.8510249e+02    1.1077801e+03    9.7092201e+02    1.2147677e+03    1.4212390e+03    1.5711152e+03    1.7833735e+03    1.9858534e+03    1.6748478e+03
   7.6165050e+02    7.5166455e+02    9.1733661e+02    1.2181080e+03    1.7420654e+03    1.5942453e+03    1.8480336e+03    1.7615456e+03    1.7806555e+03
   8.6365335e+02    7.9761713e+02    7.3822148e+02    1.1932208e+03    1.4601489e+03    1.4374685e+03    1.7087749e+03    1.4384099e+03    1.2935190e+03
   7.0307679e+02    7.6342793e+02    9.6391513e+02    1.0567377e+03    1.4730545e+03    1.3657870e+03    1.4252059e+03    1.5737845e+03    1.4009603e+03
   7.6024839e+02    9.4735288e+02    1.1085741e+03    1.3123126e+03    1.3183208e+03    1.3821972e+03    1.2844298e+03    1.5540151e+03    1.0634563e+03
   7.7686635e+02    8.4054020e+02    9.0652311e+02    1.1419526e+03    1.2983333e+03    1.5437046e+03    1.5684219e+03    1.7393809e+03    1.5967929e+03
   9.1120755e+02    9.3294173e+02    1.0777672e+03    1.2743458e+03    1.5024490e+03    1.2668408e+03    1.6156820e+03    1.7698950e+03    1.9297902e+03
   7.2828307e+02    8.0376406e+02    9.9934679e+02    1.1537385e+03    1.7536182e+03    1.4720882e+03    1.6342561e+03    1.6503503e+03    1.6499841e+03
   7.6847461e+02    7.8974013e+02    7.8872537e+02    1.4464754e+03    1.4574510e+03    1.4718499e+03    1.5276087e+03    1.5271820e+03    1.8435284e+03
   7.7981645e+02    9.1226817e+02    1.1146418e+03    1.1247498e+03    1.3154900e+03    1.2430577e+03    1.5270073e+03    1.5756848e+03    1.5941490e+03
   6.8495407e+02    1.0491987e+03    8.6706265e+02    1.3151935e+03    1.3980327e+03    1.2268359e+03    1.8526510e+03    1.5046104e+03    1.3100884e+03
   7.5580832e+02    7.8718418e+02    9.2525647e+02    1.3061562e+03    1.6088757e+03    1.3141854e+03    1.7939452e+03    1.8062516e+03    1.4131549e+03
   8.1105181e+02    9.2034033e+02    8.9716441e+02    1.0473092e+03    1.5291909e+03    1.6218952e+03    1.5547742e+03    1.3572282e+03    1.4437518e+03
   7.4830825e+02    8.0041004e+02    1.0252979e+03    1.1731365e+03    1.6010472e+03    1.1667983e+03    1.7722177e+03    1.7554231e+03    1.6446660e+03
   9.1659799e+02    9.1387242e+02    9.5866640e+02    1.3715461e+03    1.4225284e+03    1.5683181e+03    1.4888549e+03    1.8600259e+03    1.5965076e+03
   9.3913200e+02    7.1756971e+02    9.8834553e+02    1.0769768e+03    1.2734806e+03    1.4991639e+03    1.6852543e+03    1.7609108e+03    1.4581714e+03
   8.1019016e+02    7.7434672e+02    8.1453056e+02    1.2003701e+03    1.2464917e+03    1.3136170e+03    1.6553960e+03    1.6273927e+03    1.2778209e+03
   6.5322580e+02    7.5631803e+02    9.6700472e+02    1.2085852e+03    1.2655750e+03    1.4707414e+03    1.7359406e+03    1.8610761e+03    1.7245429e+03
   7.6787360e+02    9.2321627e+02    1.0518756e+03    1.0236673e+03    1.4677252e+03    1.4284136e+03    1.5643946e+03    1.3420440e+03    1.2437733e+03
   7.7473923e+02    8.2278905e+02    8.6732366e+02    1.0116532e+03    1.1699884e+03    1.5283554e+03    1.7236739e+03    1.5175483e+03    1.6361470e+03
   8.2402416e+02    6.5167645e+02    7.8849848e+02    1.2748228e+03    1.5925682e+03    1.7499311e+03    1.5364577e+03    1.8124629e+03    2.0272717e+03
   6.6641567e+02    7.6377610e+02    8.0894634e+02    1.1363208e+03    1.2866406e+03    1.4947807e+03    1.7570658e+03    1.8115686e+03    1.5474906e+03
   7.1741900e+02    9.4006377e+02    8.7054836e+02    1.3218183e+03    1.4536088e+03    1.6112339e+03    1.5533749e+03    1.5419743e+03    1.4321782e+03
   8.4870149e+02    8.4337037e+02    9.1845358e+02    1.2299119e+03    1.3566320e+03    1.6934844e+03    1.5940825e+03    1.6129106e+03    1.4571004e+03
   6.6303752e+02    9.7231524e+02    7.7202289e+02    9.6327369e+02    1.1670665e+03    1.2495913e+03    1.5252507e+03    1.4703969e+03    1.9580126e+03
   7.9235991e+02    7.4557890e+02    1.0254705e+03    1.0696195e+03    1.4055773e+03    1.3699789e+03    1.5120211e+03    1.8621279e+03    1.4608222e+03
   7.8297350e+02    8.1243853e+02    1.0966613e+03    9.6499155e+02    1.4930210e+03    1.8296595e+03    1.5403388e+03    1.4898536e+03    1.3604462e+03
   7.0774739e+02    1.0169627e+03    7.5398862e+02    1.0617010e+03    1.2242311e+03    1.3961855e+03    1.6391670e+03    2.0187375e+03    1.8975817e+03
   6.9545948e+02    6.0885030e+02    7.1090565e+02    9.3036265e+02    1.2729927e+03    1.5263355e+03    1.5886063e+03    1.9412154e+03    1.6718413e+03
   8.5701645e+02    8.5708704e+02    1.1087972e+03    1.3420939e+03    1.6102348e+03    1.3469515e+03    1.6812454e+03    1.7824975e+03    1.6309211e+03
   7.2579424e+02    9.3707664e+02    8.0219780e+02    1.1959423e+03    1.5534733e+03    1.6800351e+03    1.7642416e+03    1.8771097e+03    1.4520208e+03
   7.6265960e+02    7.9529320e+02    9.4727470e+02    1.2278198e+03    1.5428712e+03    1.7297563e+03    1.3668559e+03    1.4790598e+03    1.5581714e+03
   8.9087418e+02    9.0000189e+02    9.3932293e+02    1.2177336e+03    1.5205644e+03    1.4838469e+03    1.6599511e+03    1.8501831e+03    1.8574957e+03
   8.4505644e+02    9.1624346e+02    1.1349933e+03    1.1314985e+03    1.5194431e+03    1.5184677e+03    1.4837573e+03    1.6200068e+03    1.6650588e+03
   8.3077509e+02    8.4644925e+02    8.1222400e+02    1.1618747e+03    1.2438815e+03    1.4780668e+03    1.6944984e+03    1.8204475e+03    1.7821896e+03
   8.1921741e+02    9.3928774e+02    7.7238240e+02    1.3158732e+03    1.4791259e+03    1.4796452e+03    1.4285678e+03    1.5226713e+03    1.6722184e+03
   8.8059777e+02    1.0184999e+03    9.1795475e+02    1.2154736e+03    1.4933418e+03    1.3976691e+03    1.6889936e+03    1.6507421e+03    1.6322089e+03
   9.4834769e+02    1.0127383e+03    1.1227068e+03    1.1540706e+03    1.2746816e+03    1.4546283e+03    1.6248978e+03    2.2025552e+03    1.1660747e+03
   6.8039583e+02    8.2108320e+02    1.0956751e+03    1.1999329e+03    1.6499922e+03    1.5463524e+03    1.7828627e+03    1.8012181e+03    1.4579557e+03
   7.8424112e+02    8.7060945e+02    8.3308845e+02    1.3215676e+03    1.2871987e+03    1.4726640e+03    1.4707604e+03    1.8950257e+03    1.3316485e+03
   8.3157168e+02    7.6607382e+02    8.6060898e+02    1.1427421e+03    1.2485981e+03    1.4094434e+03    1.9310364e+03    1.5424708e+03    1.6572371e+03
   8.0576531e+02    9.5431027e+02    9.5384282e+02    1.0986645e+03    1.2871191e+03    1.4753670e+03    1.7390385e+03    1.6749304e+03    1.6886261e+03
   1.0390799e+03    8.6105373e+02    1.1089334e+03    1.0633014e+03    1.4642237e+03    1.3330339e+03    1.7827123e+03    1.4152271e+03    1.9137028e+03
