# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   8.8906190e+02    9.3117395e+02    1.0350415e+03    1.2264659e+03    1.4196429e+03    1.4431105e+03    1.5231081e+03    1.5131580e+03    1.5939752e+03
   9.6973200e+02    9.9576292e+02    1.0575969e+03    1.1951908e+03    1.3503348e+03    1.3680541e+03    1.4765580e+03    1.4875226e+03    1.6174724e+03
   9.4158044e+02    9.7974062e+02    1.0704414e+03    1.2147937e+03    1.3990159e+03    1.4211684e+03    1.5242572e+03    1.5323773e+03    1.6493419e+03
   9.1275670e+02    9.4190824e+02    1.0056178e+03    1.1667351e+03    1.3347121e+03    1.3701222e+03    1.5114260e+03    1.5092982e+03    1.5980500e+03
   9.0001231e+02    9.4460982e+02    1.0135991e+03    1.2155569e+03    1.3972608e+03    1.4195160e+03    1.5229829e+03    1.5259573e+03    1.6365413e+03
   9.5339699e+02    9.9278334e+02    1.0517040e+03    1.2105391e+03    1.3828363e+03    1.4139739e+03    1.5297349e+03    1.5504319e+03    1.6330424e+03
   9.8356860e+02    1.0140863e+03    1.0881174e+03    1.2285766e+03    1.4348757e+03    1.4581405e+03    1.6621097e+03    1.6597087e+03    1.5628209e+03
   9.2572802e+02    9.7289819e+02    1.0704393e+03    1.2220121e+03    1.3907858e+03    1.4147031e+03    1.5019253e+03    1.5199442e+03    1.5055728e+03
   8.9506956e+02    9.3699468e+02    1.0193709e+03    1.2210729e+03    1.4157665e+03    1.4352994e+03    1.5962244e+03    1.5856573e+03    1.5507662e+03
   8.9414496e+02    9.2142845e+02    1.0014403e+03    1.1726484e+03    1.3409021e+03    1.4022461e+03    1.5235244e+03    1.5412939e+03    1.5873984e+03
   9.2369803e+02    9.6437501e+02    1.0324767e+03    1.1811719e+03    1.3558397e+03    1.3999018e+03    1.5316654e+03    1.5374212e+03    1.6215550e+03
   9.6262451e+02    9.7834838e+02    1.0572483e+03    1.1854477e+03    1.3537664e+03    1.4039176e+03    1.4993830e+03    1.5366859e+03    1.7171938e+03
   9.2211986e+02    9.5316943e+02    1.0501624e+03    1.1862451e+03    1.3456447e+03    1.3657472e+03    1.5001967e+03    1.5174195e+03    1.5257815e+03
   9.4519427e+02    9.7785640e+02    1.0376497e+03    1.1413320e+03    1.3565026e+03    1.3738934e+03    1.5048937e+03    1.5085508e+03    1.6951841e+03
   8.6256824e+02    9.0016866e+02    9.8753237e+02    1.1769076e+03    1.3807940e+03    1.4081375e+03    1.5452304e+03    1.5791941e+03    1.5900696e+03
   1.0016939e+03    1.0386232e+03    1.0922743e+03    1.2139462e+03    1.3100039e+03    1.3261935e+03    1.3873818e+03    1.4154888e+03    1.5557778e+03
   8.8720633e+02    9.4129998e+02    1.0015710e+03    1.1737139e+03    1.3476060e+03    1.3671989e+03    1.4732682e+03    1.5246076e+03    1.5333138e+03
   8.8929375e+02    9.2605546e+02    1.0216925e+03    1.1921334e+03    1.3940800e+03    1.4084942e+03    1.5511549e+03    1.5603267e+03    1.5512000e+03
   9.6442220e+02    9.8722009e+02    1.0557911e+03    1.1792898e+03    1.3332174e+03    1.3589298e+03    1.4463641e+03    1.4569323e+03    1.4797684e+03
   8.7871047e+02    9.1469419e+02    9.9705046e+02    1.1746986e+03    1.3803143e+03    1.4127707e+03    1.5537793e+03    1.5646011e+03    1.5702348e+03
